,,account_id,average_price,direction,exchange,frozen,instrument,position,position_profit,yesterday_position
2018-01-29,185,test0_12940567,11.833549,,SZ,100,000060,100,-1.3548999999999367,0
2018-01-29,186,test0_12940567,5.141541999999999,,SZ,100,000750,100,-1.1541999999999497,0
2018-01-29,187,test0_12940567,32.399717,,SH,100,600547,100,-1.9716999999999985,0
2018-01-29,188,test0_12940567,6.461938,,SH,100,601228,100,-1.1937999999999782,0
2018-01-29,189,test0_12940567,13.894167,,SZ,100,002146,100,-1.4166999999998708,0
2018-01-29,190,test0_12940567,7.362207999999999,,SZ,100,000540,100,-1.220799999999933,0
2018-01-29,191,test0_12940567,19.525856,,SZ,100,000776,100,-1.5855999999999426,0
2018-01-29,192,test0_12940567,11.243371999999999,,SZ,100,000728,100,-1.3371999999998607,0
2018-01-29,193,test0_12940567,4.7614279999999995,,SH,100,601818,100,-1.142799999999955,0
2018-01-29,194,test0_12940567,9.062718,,SZ,100,000338,100,-1.2717999999999563,0
2018-01-29,195,test0_12940567,37.971388,,SH,100,600682,100,-2.1387999999994634,0
2018-01-29,196,test0_12940567,10.083024,,SH,100,601555,100,-1.3023999999999702,0
2018-01-29,197,test0_12940567,8.162448,,SH,100,600919,100,-1.2447999999999126,0
2018-01-29,198,test0_12940567,13.894167,,SH,100,600061,100,-1.4166999999998708,0
2018-01-29,199,test0_12940567,8.162448,,SH,100,600909,100,-1.2447999999999126,0
2018-01-29,200,test0_12940567,7.152144999999999,,SH,100,600050,100,-1.2144999999999406,0
2018-01-30,0,test0_12940567,9.172751,,SZ,0,000686,100,-11.275099999999938,0
2018-01-30,1,test0_12940567,7.462238,,SH,0,600018,100,-24.22380000000004,0
2018-01-30,2,test0_12940567,9.402819999999998,,SH,0,600031,100,-25.281999999999805,0
2018-01-30,3,test0_12940567,9.952984999999998,,SH,0,600015,100,-20.29849999999982,0
2018-01-30,4,test0_12940567,7.252174999999999,,SH,0,601919,100,-8.217499999999944,0
2018-01-30,5,test0_12940567,24.017203,,SZ,0,002174,100,-28.72029999999981,0
2018-01-30,6,test0_12940567,17.495247000000003,,SH,0,600637,100,-3.5247000000001805,0
2018-01-30,7,test0_12940567,7.292187,,SH,0,601998,100,-14.218699999999984,0
2018-01-30,8,test0_12940567,22.676801,,SH,0,600588,100,92.31990000000003,0
2018-01-30,9,test0_12940567,19.855955,,SZ,0,300024,100,29.4044999999997,0
2018-01-30,10,test0_12940567,11.863558000000001,,SH,0,600390,100,-4.355800000000087,0
2018-01-30,11,test0_12940567,10.023005999999999,,SH,0,600019,100,-25.300599999999918,0
2018-01-30,12,test0_12940567,6.051815,,SZ,0,000725,100,1.8184999999999896,0
2018-01-30,13,test0_12940567,48.734615999999995,,SH,0,601888,100,26.53840000000045,0
2018-01-30,14,test0_12940567,33.93017599999999,,SH,0,600085,100,-2.01759999999922,0
2018-01-30,15,test0_12940567,10.043012,,SH,0,600100,100,0.6988000000001549,0
2018-01-30,16,test0_12940567,12.063617999999998,,SH,0,601881,100,32.63820000000024,0
2018-01-30,17,test0_12940567,19.895967,,SH,0,600999,100,-53.59669999999994,0
2018-01-30,18,test0_12940567,5.611682999999999,,SZ,0,000166,100,-13.168299999999888,0
2018-01-30,19,test0_12940567,43.563064999999995,,SH,0,601155,100,-434.3064999999996,0
2018-01-30,20,test0_12940567,2.5507649999999997,,SH,0,600010,100,-3.076499999999971,0
2018-01-30,21,test0_12940567,7.442232000000001,,SH,0,601398,100,-16.223200000000038,0
2018-01-30,22,test0_12940567,5.381614,,SH,0,600208,100,29.838599999999982,0
2018-01-30,23,test0_12940567,20.376110999999998,,SH,0,601688,100,-61.61109999999965,0
2018-01-30,24,test0_12940567,4.611382999999999,,SH,0,601988,100,-13.13829999999987,0
2018-01-30,25,test0_12940567,13.474041,,SH,0,600000,100,-36.40410000000003,0
2018-01-30,26,test0_12940567,26.017803,,SZ,0,001979,100,-91.78029999999993,0
2018-01-30,27,test0_12940567,2.970891,,SH,0,600871,100,-6.089099999999981,0
2018-01-30,28,test0_12940567,13.013903,,SH,0,600816,100,-7.390300000000138,0
2018-01-30,29,test0_12940567,7.242171999999999,,SH,0,601901,100,-2.2171999999999414,0
2018-01-30,30,test0_12940567,43.633086000000006,,SH,0,600340,100,-112.30860000000078,0
2018-01-30,31,test0_12940567,5.891767,,SH,0,600023,100,0.8233000000000601,0
2018-01-30,32,test0_12940567,4.161248,,SH,0,601608,100,-3.124799999999972,0
2018-01-30,33,test0_12940567,6.882064000000001,,SZ,0,002385,100,-6.206400000000034,0
2018-01-30,34,test0_12940567,13.754124999999998,,SZ,0,000001,100,-10.412499999999802,0
2018-01-30,35,test0_12940567,15.354605,,SH,0,601198,100,1.5394999999999825,0
2018-01-30,36,test0_12940567,16.40492,,SZ,0,002081,100,-46.49200000000011,0
2018-01-30,37,test0_12940567,6.3519049999999995,,SZ,0,000959,100,-6.190499999999943,0
2018-01-30,38,test0_12940567,13.313993,,SZ,0,002736,100,-28.39930000000006,0
2018-01-30,39,test0_12940567,9.722916000000001,,SH,0,601009,100,1.7083999999998767,0
2018-01-30,40,test0_12940567,4.521356,,SH,0,601288,100,-10.1356,0
2018-01-30,41,test0_12940567,4.661398,,SZ,0,000425,100,-13.13979999999999,0
2018-01-30,42,test0_12940567,3.260978,,SH,0,600221,100,-1.0978000000000154,0
2018-01-30,43,test0_12940567,19.255775,,SZ,0,300144,100,-6.5774999999998585,0
2018-01-30,44,test0_12940567,8.382513999999999,,SH,0,600115,100,8.748600000000195,0
2018-01-30,45,test0_12940567,5.711713,,SH,0,600705,100,1.828700000000083,0
2018-01-30,46,test0_12940567,60.32809299999999,,SZ,0,002714,100,-81.80929999999904,0
2018-01-30,47,test0_12940567,10.853254999999999,,SH,0,601611,100,-17.325499999999927,0
2018-01-30,48,test0_12940567,16.564968,,SH,0,600977,100,9.503199999999978,0
2018-01-30,49,test0_12940567,7.452234999999999,,SH,0,600028,100,-24.22349999999991,0
2018-01-30,50,test0_12940567,13.233969,,SH,0,601111,100,7.60310000000004,0
2018-01-30,51,test0_12940567,7.282183999999998,,SH,0,600583,100,-4.2183999999998,0
2018-01-30,52,test0_12940567,9.932979,,SH,0,600089,100,-12.297899999999906,0
2018-01-30,53,test0_12940567,6.3519049999999995,,SH,0,601898,100,-8.19049999999999,0
2018-01-30,54,test0_12940567,9.992996999999999,,SH,0,600177,100,-14.299699999999937,0
2018-01-30,55,test0_12940567,6.491947,,SH,0,600011,100,10.805299999999995,0
2018-01-30,56,test0_12940567,9.532858999999998,,SH,0,601939,100,-15.285899999999764,0
2018-01-30,57,test0_12940567,26.597977,,SZ,0,002411,100,-14.797700000000091,0
2018-01-30,58,test0_12940567,9.812943,,SH,0,600068,100,-34.2943,0
2018-01-30,59,test0_12940567,39.371808,,SZ,0,300072,100,-48.18080000000009,0
2018-01-30,60,test0_12940567,10.193057,,SH,0,601225,100,-24.30570000000003,0
2018-01-30,61,test0_12940567,10.433129,,SZ,0,300027,100,-28.312899999999885,0
2018-01-30,62,test0_12940567,9.932979,,SH,0,600489,100,-15.29790000000002,0
2018-01-30,63,test0_12940567,102.020597,,SH,0,603799,100,-900.0596999999999,0
2018-01-30,64,test0_12940567,16.40492,,SH,0,601229,100,-43.492,0
2018-01-30,65,test0_12940567,12.093627,,SZ,0,000402,100,-42.362699999999975,0
2018-01-30,66,test0_12940567,18.315493,,SH,0,600188,100,-12.549299999999874,0
