,,cancel_time,deal_volume,direction,exchange,frond_id,instrument,offset,order_id,order_price,order_time,price_type,session_id,status,total_volume
2018-01-31,6,,100,,SH,,600820,close,order_09245617,8.26,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,7,,100,,SH,,600031,close,order_36854192,9.19,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,8,,100,,SZ,,002411,close,order_06283754,26.39,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,9,,100,,SH,,600871,close,order_24175638,2.65,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,10,,100,,SH,,600606,close,order_52483190,9.24,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,11,,100,,SH,,600383,close,order_43168259,15.66,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,12,,100,,SH,,601608,close,order_10328459,4.04,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,13,,100,,SZ,,000157,close,order_15968723,4.49,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,14,,100,,SH,,600663,close,order_31079624,19.57,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,15,,100,,SH,,600089,close,order_97308164,9.81,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,16,,100,,SZ,,002624,close,order_83509724,29.85,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,17,,100,,SH,,600816,close,order_97012635,12.97,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,18,,100,,SZ,,002153,close,order_30285479,25.32,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,19,,100,,SH,,600482,close,order_31695840,24.1,2018-01-31,fix,test0_71059834,filled,100
2018-01-31,20,,100,,SH,,601958,close,order_24903875,7.29,2018-01-31,fix,test0_71059834,filled,100
2018-02-01,0,,100,,SH,,600406,close,order_16379054,17.14,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,1,,100,,SZ,,000402,close,order_93470256,11.52,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,2,,100,,SZ,,002202,close,order_87045261,16.97,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,3,,100,,SH,,601555,close,order_50382914,9.47,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,4,,100,,SH,,601611,close,order_61472835,10.61,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,5,,100,,SH,,600415,close,order_70169382,5.69,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,6,,100,,SH,,601099,close,order_80329147,3.31,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,7,,100,,SH,,600690,close,order_27194683,21.43,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,8,,100,,SZ,,000425,close,order_09482736,4.43,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,9,,100,,SH,,601688,close,order_79184263,19.69,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,10,,100,,SH,,600682,close,order_12790635,33.28,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,11,,100,,SH,,601018,close,order_79601245,5.36,2018-02-01,fix,test0_71059834,filled,100
2018-02-01,12,,100,,SH,,600893,close,order_64278530,24.06,2018-02-01,fix,test0_71059834,filled,100
