,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-04-03,1,35.673564,2018-04-03,100,,SH,600588,close,order_36450789,deal_07291856
2018-04-03,2,34.03020599999999,2018-04-03,100,,SZ,002602,open,order_46579380,deal_30524687
2018-04-03,3,4.404267000000001,2018-04-03,100,,SH,600208,close,order_03697548,deal_51498376
2018-04-03,4,17.485244,2018-04-03,100,,SH,600999,open,order_35982076,deal_67435829
2018-04-03,5,19.225766,2018-04-03,100,,SH,600030,open,order_84236097,deal_76352908
2018-04-03,6,9.142742,2018-04-03,100,,SZ,002470,open,order_35971042,deal_24689073
2018-04-03,7,14.424325999999999,2018-04-03,100,,SZ,000792,open,order_64018279,deal_91785423
2018-04-03,8,29.028706000000003,2018-04-03,100,,SH,600498,open,order_75261308,deal_75036298
2018-04-03,9,8.572571,2018-04-03,100,,SZ,000338,open,order_23185974,deal_73602589
2018-04-03,10,8.042411999999999,2018-04-03,100,,SZ,002500,open,order_12504896,deal_09587162
2018-04-03,11,71.782165,2018-04-03,100,,SZ,002460,close,order_17642058,deal_93452617
2018-04-03,12,9.152745,2018-04-03,100,,SH,600109,open,order_17246938,deal_39781652
2018-04-04,0,56.984395000000006,2018-04-04,100,,SZ,002230,close,order_81209547,deal_28519467
2018-04-04,1,9.427728,2018-04-04,100,,SH,601611,close,order_48501973,deal_46295073
2018-04-04,2,22.390854,2018-04-04,100,,SH,600518,close,order_65841073,deal_50239614
2018-04-04,3,17.575271,2018-04-04,100,,SH,601688,open,order_65284371,deal_30489625
2018-04-04,4,13.714113,2018-04-04,100,,SH,600895,open,order_92738054,deal_74803615
2018-04-04,5,81.084453,2018-04-04,100,,SH,600436,close,order_72058139,deal_87236054
2018-04-04,6,61.84854899999999,2018-04-04,100,,SZ,000423,open,order_71560423,deal_97645382
2018-04-04,7,38.831665,2018-04-04,100,,SZ,300015,close,order_87932605,deal_80917635
2018-04-04,8,17.355205,2018-04-04,100,,SH,600637,open,order_78943621,deal_36498750
2018-04-04,9,26.287884,2018-04-04,100,,SZ,002153,open,order_15634970,deal_72043198
2018-04-09,0,4.953552,2018-04-09,100,,SH,600008,close,order_39751268,deal_86517324
2018-04-09,1,33.630086,2018-04-09,100,,SH,600585,open,order_94381067,deal_96437205
2018-04-09,2,61.368405,2018-04-09,100,,SZ,000568,open,order_42317605,deal_16927843
2018-04-09,3,20.70889,2018-04-09,100,,SZ,002074,close,order_97804361,deal_54902736
2018-04-09,4,44.23326599999999,2018-04-09,100,,SH,600196,open,order_56730149,deal_93085267
2018-04-09,5,29.138739000000005,2018-04-09,100,,SZ,000826,open,order_30516297,deal_20957843
2018-04-09,6,5.631689,2018-04-09,100,,SH,601989,open,order_30769412,deal_74952130
2018-04-10,0,7.3021899999999995,2018-04-10,100,,SH,600018,open,order_38157062,deal_31492065
