,,account_id,available,pre_balance,total_balance
2018-07-09,0,test0_04716358,1792351.3226475918,0,1940943.5094295978
2018-07-09,1,test1_12769405,1000.0,0,1000.0
2018-07-10,0,test0_04716358,1779128.3819969196,0,1941885.154115228
2018-07-10,1,test1_12769405,1000.0,0,1000.0
2018-07-11,0,test0_04716358,1678000.9352855934,0,1939864.5173298342
2018-07-11,1,test1_12769405,1000.0,0,1000.0
2018-07-12,0,test0_04716358,1594776.284325569,0,1946115.5198310646
2018-07-12,1,test1_12769405,1000.0,0,1000.0
2018-07-13,0,test0_04716358,1475346.3414943789,0,1948948.0244541694
2018-07-13,1,test1_12769405,1000.0,0,1000.0
2018-07-16,0,test0_04716358,1478762.5224549563,0,1949148.4582670848
2018-07-16,1,test1_12769405,1000.0,0,1000.0
2018-07-17,0,test0_04716358,1491609.670119782,0,1944232.7584556486
2018-07-17,1,test1_12769405,1000.0,0,1000.0
2018-07-18,0,test0_04716358,1456475.2492747118,0,1941478.2742737439
2018-07-18,1,test1_12769405,1000.0,0,1000.0
2018-07-19,0,test0_04716358,1524160.2378411938,0,1938824.1157555724
2018-07-19,1,test1_12769405,1000.0,0,1000.0
2018-07-20,0,test0_04716358,1572353.4106859118,0,1942489.995938266
2018-07-20,1,test1_12769405,1000.0,0,1000.0
2018-07-23,0,test0_04716358,1593188.3181352282,0,1940909.8459381156
2018-07-23,1,test1_12769405,1000.0,0,1000.0
2018-07-24,0,test0_04716358,1679101.0124303068,0,1944523.9300644053
2018-07-24,1,test1_12769405,1000.0,0,1000.0
2018-07-25,0,test0_04716358,1657495.0076067883,0,1944174.085599043
2018-07-25,1,test1_12769405,1000.0,0,1000.0
2018-07-26,0,test0_04716358,1632097.1471833563,0,1940033.5028692633
2018-07-26,1,test1_12769405,1000.0,0,1000.0
2018-07-27,0,test0_04716358,1617510.1001164839,0,1938323.1986307479
2018-07-27,1,test1_12769405,1000.0,0,1000.0
2018-07-30,0,test0_04716358,1613685.6799707296,0,1936566.4438443128
2018-07-30,1,test1_12769405,1000.0,0,1000.0
2018-07-31,0,test0_04716358,1660382.4403080444,0,1936246.5163702932
2018-07-31,1,test1_12769405,1000.0,0,1000.0
2018-08-01,0,test0_04716358,1776612.5876635641,0,1930943.0646103637
2018-08-01,1,test1_12769405,1000.0,0,1000.0
2018-08-02,0,test0_04716358,1860236.3957564146,0,1928007.518840447
2018-08-02,1,test1_12769405,1000.0,0,1000.0
2018-08-03,0,test0_04716358,1881148.5878347736,0,1927455.6559178764
2018-08-03,1,test1_12769405,1000.0,0,1000.0
2018-08-06,0,test0_04716358,1899870.9337072007,0,1926868.0528142976
2018-08-06,1,test1_12769405,1000.0,0,1000.0
2018-08-07,0,test0_04716358,1902412.5437969791,0,1927296.3962217038
2018-08-07,1,test1_12769405,1000.0,0,1000.0
2018-08-08,0,test0_04716358,1907593.1822876611,0,1927063.1749909986
2018-08-08,1,test1_12769405,1000.0,0,1000.0
2018-08-09,0,test0_04716358,1894359.980156967,0,1927087.8690130336
2018-08-09,1,test1_12769405,1000.0,0,1000.0
2018-08-10,0,test0_04716358,1849270.8958419152,0,1926967.30482848
2018-08-10,1,test1_12769405,1000.0,0,1000.0
2018-08-13,0,test0_04716358,1755284.3551303826,0,1927054.4632270366
